username,timestamp,total_score,overall_level,assessment_type,sub1,sub1_score,sub1_level,sub2,sub2_score,sub2_level,sub3,sub3_score,sub3_level,sub4,sub4_score,sub4_level,sub5,sub5_score,sub5_level,sub6,sub6_score,sub6_level,sub7,sub7_score,sub7_level,sub8,sub8_score,sub8_level,sub9,sub9_score,sub9_level,sub10,sub10_score,sub10_level,sub11,sub11_score,sub11_level,sub12,sub12_score,sub12_level,top1_subscale,top1_label,top1_score,top1_level,top2_subscale,top2_label,top2_score,top2_level,top3_subscale,top3_label,top3_score,top3_level,model_top1,model_top2,model_top3
rrshah,2026-04-14 17:51:07,121,Low,advanced,Sub-Scale I,9,Low,Sub-Scale II,9,Low,Sub-Scale III,12,Low,Sub-Scale IV,7,Low,Sub-Scale V,3,Low,Sub-Scale VI,16,High,Sub-Scale VII,15,High,Sub-Scale VIII,15,High,Sub-Scale IX,13,Moderate,Sub-Scale X,10,Moderate,Sub-Scale XI,10,Moderate,Sub-Scale XII,2,Low,Sub-Scale VI,Under Participation,16,High,Sub-Scale VII,Powerlessness,15,High,Sub-Scale VIII,Poor Peer Relations,15,High,Sub-Scale I,Sub-Scale III,Sub-Scale XI
krs,2026-04-14 18:47:52,127,Moderate,basic,Sub-Scale I,12,Low,Sub-Scale II,8,Low,Sub-Scale III,14,Moderate,Sub-Scale IV,4,Low,Sub-Scale V,6,Low,Sub-Scale VI,20,High,Sub-Scale VII,12,High,Sub-Scale VIII,16,High,Sub-Scale IX,12,Moderate,Sub-Scale X,11,Moderate,Sub-Scale XI,10,Moderate,Sub-Scale XII,2,Low,Sub-Scale VI,Under Participation,20,High,Sub-Scale VIII,Poor Peer Relations,16,High,Sub-Scale III,Role Conflict,14,Moderate,Sub-Scale I,Sub-Scale III,Sub-Scale XI
